	fq_name	Wild/Captive	continent	Country	Species_Name	Marker	clean_size	reads_num
1	QueTC_2022_1-12-1	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	20.99188391	57428428
2	QueTC_2022_1-12-2	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	20.16426879	55167828
3	QueTC_2022_1-12-3	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	23.73313923	64891594
4	QueTC_2022_1-12-4	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	24.09198005	65913664
5	QueTC_2022_1-12-5	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	26.05107942	71309162
6	QueTC_2022_1-12-6	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.38310364	69462516
7	QueTC_2022_1-12-7	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.28961886	69243258
8	QueTC_2022_1-12-8	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.89314733	70833084
9	QueTC_2022_1-12-9	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	26.1757493	71611060
10	QueTC_2022_1-12-10	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.54920703	70150624
11	QueTC_2022_1-12-11	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	26.47693842	72514404
12	QueTC_2022_1-12-12	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	26.36822047	72162288
13	QueTC_2022_B0519	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.00705532	68382988
14	QueTC_2022_B-G-01	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	32.28056891	88214718
15	QueTC_2022_B-G-02	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.89004722	70817716
16	QueTC_2022_B-G-03	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	11.93232728	34681982
17	QueTC_2022_B-G-04	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	23.44924953	64142706
18	QueTC_2022_B-G-05	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	21.24824645	58128006
19	QueTC_2022_B-G-06	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	22.0322689	60271042
20	QueTC_2022_B-G-07	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	23.1677199	63367280
21	QueTC_2022_B-G-08	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	21.96407995	60073970
22	QueTC_2022_H01	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	24.0175972	65656382
23	QueTC_2022_H02	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.48548053	69621640
24	QueTC_2022_H03	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	24.21240377	66189118
25	QueTC_2022_H04	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	27.18370004	74313012
26	QueTC_2022_H05	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	25.68891612	70239092
27	QueTC_2022_H06	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	27.66362391	75584940
28	QueTC_2022_H07	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	28.14380073	76963448
29	QueTC_2022_H08	Wild	Asia	China	Trachypithecus leucocephalus	QueTC_2022	24.38863151	66679906
30	HanyaG_2020_DRR198866	Wild	Asia	Japan	Macaca fuscata	HanyaG_2020	35.5483696	109547932
31	HanyaG_2020_DRR198867	Wild	Asia	Japan	Macaca fuscata	HanyaG_2020	15.59914885	48240468
32	HanyaG_2020_DRR198868	Wild	Asia	Japan	Macaca fuscata	HanyaG_2020	8.889180604	28666492
