	Sample ID	Species	Social Group	Subject	Age	Sex	Month	Date	Flower	Fruit	Leaf	Others
1	21040304G6B	Nomascus_concolor	G6	G6B	Adult	Female	202104	2021.4.3	0.08390411	0.33390411	0.553082192	0.029109589
2	21040501G6M2	Nomascus_concolor	G6	G6M2	Adult	Male	202104	2021.4.5	0.08390411	0.33390411	0.553082192	0.029109589
3	21040502G4B09	Nomascus_concolor	G4	G4B09	Adult	Male	202104	2021.4.5	0.08390411	0.33390411	0.553082192	0.029109589
4	21040504G4B	Nomascus_concolor	G4	G4B	Adult	Female	202104	2021.4.5	0.08390411	0.33390411	0.553082192	0.029109589
5	21040701G6M2	Nomascus_concolor	G6	G6M2	Adult	Male	202104	2021.4.7	0.08390411	0.33390411	0.553082192	0.029109589
6	21040801G4C12	Nomascus_concolor	G4	G4C12	Junior	Unknown	202104	2021.4.8	0.08390411	0.33390411	0.553082192	0.029109589
7	21040802G4D	Nomascus_concolor	G4	G4D	Adult	Female	202104	2021.4.8	0.08390411	0.33390411	0.553082192	0.029109589
8	21040803G4B16	Nomascus_concolor	G4	G4B16	Junior	Unknown	202104	2021.4.8	0.08390411	0.33390411	0.553082192	0.029109589
9	21040806G4B	Nomascus_concolor	G4	G4B	Adult	Female	202104	2021.4.8	0.08390411	0.33390411	0.553082192	0.029109589
10	21040901G6A	Nomascus_concolor	G6	G6A	Adult	Female	202104	2021.4.9	0.08390411	0.33390411	0.553082192	0.029109589
11	21040904G6B16	Nomascus_concolor	G6	G6B16	Junior	Unknown	202104	2021.4.9	0.08390411	0.33390411	0.553082192	0.029109589
12	21041301G5M3	Nomascus_concolor	G5	G5M3	Adult	Male	202104	2021.4.13	0.08390411	0.33390411	0.553082192	0.029109589
13	21041501G4B09	Nomascus_concolor	G4	G4B09	Adult	Male	202104	2021.4.15	0.08390411	0.33390411	0.553082192	0.029109589
14	21041801G6M2	Nomascus_concolor	G6	G6M2	Adult	Male	202104	2021.4.18	0.08390411	0.33390411	0.553082192	0.029109589
15	210426G5M3	Nomascus_concolor	G5	G5M3	Adult	Male	202104	2021.4.26	0.08390411	0.33390411	0.553082192	0.029109589
16	21050401G6A	Nomascus_concolor	G6	G6A	Adult	Female	202105	2021.5.4	0.12431843	0.726281352	0.14612868	0.003271538
17	21050704G6M2	Nomascus_concolor	G6	G6M2	Adult	Male	202105	2021.5.7	0.12431843	0.726281352	0.14612868	0.003271538
18	21051301G5A	Nomascus_concolor	G5	G5A	Adult	Female	202105	2021.5.13	0.12431843	0.726281352	0.14612868	0.003271538
19	21051401G5B16	Nomascus_concolor	G5	G5B16	Junior	Unknown	202105	2021.5.14	0.12431843	0.726281352	0.14612868	0.003271538
20	21051402G5B13	Nomascus_concolor	G5	G5B13	Junior	Unknown	202105	2021.5.14	0.001440922	0.894092219	0.064841499	0.03962536
21	21051902G6B16	Nomascus_concolor	G6	G6B16	Junior	Unknown	202105	2021.5.19	0.12431843	0.726281352	0.14612868	0.003271538
22	21052001G6A13	Nomascus_concolor	G6	G6A13	Junior	Unknown	202105	2021.5.20	0.12431843	0.726281352	0.14612868	0.003271538
23	21052003G6A16	Nomascus_concolor	G6	G6A16	Junior	Unknown	202105	2021.5.20	0.12431843	0.726281352	0.14612868	0.003271538
24	21052103G5A	Nomascus_concolor	G5	G5A	Adult	Female	202105	2021.5.21	0.12431843	0.726281352	0.14612868	0.003271538
25	21052504G4B16	Nomascus_concolor	G4	G4B16	Junior	Unknown	202105	2021.5.25	0.12431843	0.726281352	0.14612868	0.003271538
26	21052506G4D	Nomascus_concolor	G4	G4D	Adult	Female	202105	2021.5.25	0.12431843	0.726281352	0.14612868	0.003271538
27	21052701G5B13	Nomascus_concolor	G5	G5B13	Junior	Unknown	202105	2021.5.27	0.12431843	0.726281352	0.14612868	0.003271538
28	21070801G5M3	Nomascus_concolor	G5	G5M3	Adult	Male	202107	2021.7.8	0.066954644	0.639308855	0.252699784	0.041036717
29	21070801G6B	Nomascus_concolor	G6	G6B	Adult	Female	202107	2021.7.8	0.066954644	0.639308855	0.252699784	0.041036717
30	21070802G6A	Nomascus_concolor	G6	G6A	Adult	Female	202107	2021.7.8	0.066954644	0.639308855	0.252699784	0.041036717
31	21070803G5B13	Nomascus_concolor	G5	G5B13	Junior	Unknown	202107	2021.7.8	0.066954644	0.639308855	0.252699784	0.041036717
32	21070803G6A16	Nomascus_concolor	G6	G6A16	Junior	Unknown	202107	2021.7.8	0.066954644	0.639308855	0.252699784	0.041036717
33	21070804G6A16	Nomascus_concolor	G6	G6A16	Junior	Unknown	202107	2021.7.8	0.066954644	0.639308855	0.252699784	0.041036717
34	21070901G5M3	Nomascus_concolor	G5	G5M3	Adult	Male	202107	2021.7.9	0.066954644	0.639308855	0.252699784	0.041036717
35	21071003G6M2	Nomascus_concolor	G6	G6M2	Adult	Male	202107	2021.7.10	0.066954644	0.639308855	0.252699784	0.041036717
36	21071004G6A13	Nomascus_concolor	G6	G6A13	Junior	Unknown	202107	2021.7.10	0.066954644	0.639308855	0.252699784	0.041036717
