"length"	"gene_num"	"phyla"	"in_num"	"out_num"	"quality"	"mro"	"mip"
"21040304G6B_bins.101.trim"	1518364	1342	"p__Actinomycetota"	72	20	66.68	0.406012412591447	2.64576659038902
"21040304G6B_bins.111.trim"	2167431	1986	"p__Pseudomonadota"	126	30	87.45	0.483712943174327	2.63066361556064
"21040304G6B_bins.112.trim"	2520375	1842	"p__Bacteroidota"	144	36	83.45	0.563089455463161	3.43691838291381
"21040304G6B_bins.15.trim"	1998983	1552	"p__Bacteroidota"	74	22	73.92	0.481368413953291	1.80976353928299
"21040304G6B_bins.41.trim"	2531826	1957	"p__Bacteroidota"	118	34	74.83	0.483478030472667	2.56811594202899
"21040304G6B_bins.48.trim"	2144414	1694	"p__Bacteroidota"	86	29	85.31	0.502193407729122	1.43463005339436
"21040304G6B_bins.74.trim"	1597522	1396	"p__Actinomycetota"	118	20	88.72	0.572301808984471	1.61235697940503
"21040501G6M2_bins.150.trim"	1095290	954	"p__Actinomycetota"	82	23	58.19	0.537670430933448	2.16659038901602
"21040501G6M2_bins.151.trim"	2292484	1988	"p__Bacillota_A"	116	17	96.9	0.593688115338637	1.27414187643021
"21040501G6M2_bins.157.trim"	1537820	1305	"p__Bacillota"	92	18	93.44	0.544718641611072	2.17559115179252
"21040501G6M2_bins.97.trim"	1153399	1161	"p__Actinomycetota"	74	13	54.89	0.479125833447289	0.877498093058734
"21040504G4B_bins.119.trim"	1969445	1994	"p__Bacillota_A"	117	19	65.99	0.580908494877086	1.50282227307399
"21040504G4B_bins.126.trim"	1078795	1059	"p__Bacillota"	89	17	65.95	0.522289067790944	1.83401983218917
"21040701G6M2_bins.136.trim"	2349186	2029	"p__Bacillota_A"	119	17	97.52	0.571273542816151	1.11380625476735
"21040701G6M2_bins.48.trim"	1416155	1367	"p__Actinomycetota"	89	12	64.44	0.564025870316533	0.901296720061022
"21040701G6M2_bins.4.trim"	1715177	1539	"p__Actinomycetota"	120	20	82.71	0.556875318484753	1.27612509534706
"21040701G6M2_bins.71.trim"	3145375	2775	"p__Bacillota_A"	153	24	54.5	0.56428296370864	2.52341723874905
"21040801G4C12_bins.50.trim"	2182923	1839	"p__Actinomycetota"	141	18	98.84	0.582601904054179	1.45049580472921
"21040801G4C12_bins.69.trim"	1192578	1304	"p__Bacillota_A"	76	17	76.58	0.553876696704683	0.910907704042715
"21040802G4D_bins.106.trim"	1558715	1498	"p__Bacillota_A"	125	17	80.9	0.565526654079959	1.69077040427155
"21040802G4D_bins.2.trim"	2191718	2193	"p__Bacillota"	137	20	85.4	0.556610456197219	1.80396643783371
"21040802G4D_bins.51.trim"	2094361	1808	"p__Actinomycetota"	122	17	93.42	0.572555931008086	2.64241037376049
"21040802G4D_bins.61.trim"	617763	711	"p__Bacillota_A"	48	12	59.5	0.405660556042965	1.27093821510297
"21040803G4B16_bins.111.trim"	2092836	1848	"p__Actinomycetota"	123	27	59.47	0.5377060369798	1.59755911517925
"21040803G4B16_bins.119.trim"	1614506	1465	"p__Actinomycetota"	132	17	73.14	0.58593190681808	2.13150266971777
"21040803G4B16_bins.36.trim"	1903772	1916	"p__Bacillota"	147	25	74.36	0.557863008629764	2.56384439359268
"21040803G4B16_bins.39.trim"	2519951	2331	"p__Bacillota_C"	188	26	97.75	0.518782159443008	2.227765064836
"21040803G4B16_bins.94.trim"	2288014	2125	"p__Campylobacterota"	79	22	89.88	0.410879995977607	2.92616323417239
